"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"752",2,3e+05,0.8,0.01,-1,0.513627514600908,0.000396953448217964,0.0103916941340051,2.05342272410876,"cl1"
"753",3,3e+05,0.8,0.01,-1,0.520806241872562,0.000363872857908552,0.0096932563445109,1.87715177016285,"cl1"
"754",4,3e+05,0.8,0.01,-1,0.517185473411154,0.000309063406547606,0.0086900775678654,1.71163111327718,"cl1"
"755",5,3e+05,0.8,0.01,-1,0.508249757360078,0.000366806815705392,0.00998828475736726,2.05269007050237,"cl1"
"756",6,3e+05,0.8,0.01,-1,0.503590078328982,0.00038335646135966,0.0101117439640637,1.98410710678031,"cl1"
"757",7,3e+05,0.8,0.01,-1,0.501956947162427,0.000343310091584496,0.00932755886515923,1.81870605997319,"cl1"
"758",8,3e+05,0.8,0.01,-1,0.5108099386899,0.000416929531917785,0.0108591020648105,2.19958473511292,"cl1"
"759",9,3e+05,0.8,0.01,-1,0.523404255319149,0.000317743981302047,0.0089582482440766,1.80833575082721,"cl1"
"760",10,3e+05,0.8,0.01,-1,0.517662170841362,0.000357560382695719,0.00969984418843372,1.93849788475502,"cl1"
"761",1,30000,0.3,0.001,-1,0.75,-0.00056535308156458,-0.00407850601846631,-0.111059308565104,"cl1"
"762",2,30000,0.3,0.001,-1,0.666666666666667,-0.000835944244424504,-0.00679588846117598,-0.198456914066238,"cl1"
"763",3,30000,0.3,0.001,-1,0.75,0.00265274786419854,0.0183081493331551,0.662190673060925,"cl1"
"764",4,30000,0.3,0.001,-1,0.75,0.00310549484471734,0.0281407929978382,1.83776696062858,"cl1"
"765",5,30000,0.3,0.001,-1,0.6,0.00263314818817501,0.0176633592766609,0.609921600697455,"cl1"
"766",6,30000,0.3,0.001,-1,0.6,0.00333372415785822,0.0194326828329794,0.576259908522919,"cl1"
"767",7,30000,0.3,0.001,-1,0.857142857142857,0.000173535354065962,0.00142116226708115,0.0476571182002724,"cl1"
"768",8,30000,0.3,0.001,-1,0.285714285714286,0.0123769071689291,0.0738043020620942,5.61552088930041,"cl1"
"769",9,30000,0.3,0.001,-1,0.666666666666667,0.0298500048352214,0.119374208813231,6.99177068168909,"cl1"
"770",10,30000,0.3,0.001,-1,0.833333333333333,-0.00189986082079318,-0.00811030468603456,-0.129374623773347,"cl1"
"771",1,3e+05,0.3,0.001,-1,0.5,0.00032104095050004,0.00921714171130525,1.95738045605075,"cl1"
"772",2,3e+05,0.3,0.001,-1,0.517350157728707,0.000408532904977935,0.0113675736171228,2.70673638307961,"cl1"
"773",3,3e+05,0.3,0.001,-1,0.495522388059702,0.000345305312754781,0.00923473156643855,1.74213353598789,"cl1"
"774",4,3e+05,0.3,0.001,-1,0.509090909090909,0.000268688443109735,0.00718247752374639,1.17634860878353,"cl1"
"775",5,3e+05,0.3,0.001,-1,0.496732026143791,0.000217886965879663,0.00680064989691912,1.36824712791414,"cl1"
"776",6,3e+05,0.3,0.001,-1,0.548387096774194,0.000432015866298781,0.0105106280010438,1.84646072662011,"cl1"
"777",7,3e+05,0.3,0.001,-1,0.525,0.000407699193123974,0.0107736766206418,2.22572754505234,"cl1"
"778",8,3e+05,0.3,0.001,-1,0.4875,0.00035583021593481,0.0101284629539619,2.27672206532966,"cl1"
"779",9,3e+05,0.3,0.001,-1,0.542168674698795,0.000177589313193415,0.00530372119148472,0.894517989593989,"cl1"
"780",10,3e+05,0.3,0.001,-1,0.491909385113269,0.000411995400097515,0.0108661657083662,2.25237802693945,"cl1"
"781",1,30000,0.8,0.001,-1,0.483443708609272,0.00271565092044257,0.0262602935392334,1.82487729741077,"cl1"
"782",2,30000,0.8,0.001,-1,0.451388888888889,0.00345309324360595,0.0312885880575626,2.20901968134648,"cl1"
"783",3,30000,0.8,0.001,-1,0.510135135135135,0.00722550102680474,0.0527368142187461,4.06952058735738,"cl1"
"784",4,30000,0.8,0.001,-1,0.536184210526316,0.00785240928651018,0.0593594001298524,5.9059893238768,"cl1"
"785",5,30000,0.8,0.001,-1,0.501730103806228,0.00262608127233248,0.0242751468128321,1.49209248454875,"cl1"
"786",6,30000,0.8,0.001,-1,0.494584837545126,0.00436870987290848,0.0376708644458721,2.85031890103556,"cl1"
"787",7,30000,0.8,0.001,-1,0.523648648648649,0.00235474962362123,0.022144014211116,1.32874868792316,"cl1"
"788",8,30000,0.8,0.001,-1,0.498316498316498,0.00373666167441533,0.0326903203210192,2.24392823260383,"cl1"
"789",9,30000,0.8,0.001,-1,0.459016393442623,0.00713116984604338,0.0541582264179392,4.74737031399579,"cl1"
"790",10,30000,0.8,0.001,-1,0.517915309446254,0.00397015671733629,0.0342482511547272,2.38063630015361,"cl1"
"791",1,3e+05,0.8,0.001,-1,0.506578947368421,7.34085120000771e-05,0.00252564307842707,0.416885321395487,"cl1"
"792",2,3e+05,0.8,0.001,-1,0.491344873501997,7.22305071259841e-05,0.00227862376372815,0.333794262092306,"cl1"
"793",3,3e+05,0.8,0.001,-1,0.516172506738544,0.000114278239911172,0.0037443661102456,0.637591323528714,"cl1"
"794",4,3e+05,0.8,0.001,-1,0.507246376811594,7.01746011206906e-05,0.00221730730685325,0.324057600814526,"cl1"
"795",5,3e+05,0.8,0.001,-1,0.499332443257677,6.12817140970521e-05,0.00214470997739246,0.350944735537491,"cl1"
"796",6,3e+05,0.8,0.001,-1,0.48761408083442,7.21985067165426e-05,0.00245885107179993,0.398987574252435,"cl1"
"797",7,3e+05,0.8,0.001,-1,0.512751677852349,5.04188673565589e-05,0.00177230651717924,0.283410726255314,"cl1"
"798",8,3e+05,0.8,0.001,-1,0.503364737550471,9.40888388280846e-05,0.00320020417244975,0.548242760609789,"cl1"
"799",9,3e+05,0.8,0.001,-1,0.518918918918919,4.4435497874288e-05,0.00157836322372907,0.251685804493065,"cl1"
"800",10,3e+05,0.8,0.001,-1,0.501336898395722,9.87857202844878e-05,0.00309723244541155,0.476476483423723,"cl1"
"801",1,30000,0.3,0.01,0,100,100,100,100,"cl1"
"802",2,30000,0.3,0.01,0,100,100,100,100,"cl1"
"803",3,30000,0.3,0.01,0,100,100,100,100,"cl1"
"804",4,30000,0.3,0.01,0,100,100,100,100,"cl1"
"805",5,30000,0.3,0.01,0,100,100,100,100,"cl1"
"806",6,30000,0.3,0.01,0,100,100,100,100,"cl1"
"807",7,30000,0.3,0.01,0,100,100,100,100,"cl1"
"808",8,30000,0.3,0.01,0,100,100,100,100,"cl1"
"809",9,30000,0.3,0.01,0,100,100,100,100,"cl1"
"810",10,30000,0.3,0.01,0,1,-0.180894791141143,-0.396539293543919,-0.995107571519583,"cl1"
"811",1,3e+05,0.3,0.01,0,0.608695652173913,0.000209363935555416,0.0055683593571475,0.8162713415817,"cl1"
"812",2,3e+05,0.3,0.01,0,0.611111111111111,7.2161696823249e-05,0.00188868884446744,0.218830735274236,"cl1"
"813",3,3e+05,0.3,0.01,0,0.50561797752809,0.000246087904071706,0.00642359461262773,0.968142211122338,"cl1"
"814",4,3e+05,0.3,0.01,0,0.655555555555556,0.000145713550409437,0.00401661707462947,0.560018761767187,"cl1"
"815",5,3e+05,0.3,0.01,0,0.588888888888889,0.000215043451574336,0.00613506909002762,1.02871828377758,"cl1"
"816",6,3e+05,0.3,0.01,0,0.657534246575342,0.000204235868508868,0.00596363167732717,1.02125211924318,"cl1"
"817",7,3e+05,0.3,0.01,0,0.617021276595745,0.00030888827164584,0.00798382308266802,1.31048066625354,"cl1"
"818",8,3e+05,0.3,0.01,0,0.574468085106383,0.000318752687671746,0.00865420911313952,1.60582016901057,"cl1"
"819",9,3e+05,0.3,0.01,0,0.640776699029126,0.000188102891215603,0.0051312364366407,0.756982439962666,"cl1"
"820",10,3e+05,0.3,0.01,0,0.5,0.000368838140434469,0.0099468278278017,2.00384095642617,"cl1"
"821",1,30000,0.8,0.01,0,0.492957746478873,0.002880363467889,0.0239881877463863,1.2479194782785,"cl1"
"822",2,30000,0.8,0.01,0,0.616666666666667,0.00139642803249841,0.0126447193981316,0.584091965781249,"cl1"
"823",3,30000,0.8,0.01,0,0.565217391304348,0.000861259936399288,0.00772945652832921,0.320382193958272,"cl1"
"824",4,30000,0.8,0.01,0,0.541666666666667,0.00238694122932325,0.0206461658159914,1.05868900141923,"cl1"
"825",5,30000,0.8,0.01,0,0.666666666666667,0.00217650432816646,0.0175693786425379,0.77030319959584,"cl1"
"826",6,30000,0.8,0.01,0,0.578313253012048,0.00351696381081495,0.0294724740907211,1.74226638276437,"cl1"
"827",7,30000,0.8,0.01,0,0.616438356164384,0.00263481966277167,0.020714193952689,0.929474767746979,"cl1"
"828",8,30000,0.8,0.01,0,0.560606060606061,0.00145371294125405,0.0119351342485007,0.481739200163563,"cl1"
"829",9,30000,0.8,0.01,0,0.594936708860759,0.00215692126167606,0.0178273407926675,0.810687236298002,"cl1"
"830",10,30000,0.8,0.01,0,0.464285714285714,0.00447033052650859,0.0352057994950923,2.12317503681408,"cl1"
"831",1,3e+05,0.8,0.01,0,0.507231040564374,0.000217050005222602,0.00749528740043687,1.88470169117579,"cl1"
"832",2,3e+05,0.8,0.01,0,0.513816019587268,0.000237605537316065,0.00800180063395696,2.01980306834901,"cl1"
"833",3,3e+05,0.8,0.01,0,0.522678951098512,0.000221050338224453,0.00743503706758375,1.77869969814995,"cl1"
"834",4,3e+05,0.8,0.01,0,0.52310405643739,0.000211399742440254,0.00720059587799329,1.72227056930369,"cl1"
"835",5,3e+05,0.8,0.01,0,0.494362226920366,0.000234162470286879,0.00784248601042329,1.93246644710412,"cl1"
"836",6,3e+05,0.8,0.01,0,0.524487669329628,0.000215335653669708,0.00737231187399549,1.80640148714298,"cl1"
"837",7,3e+05,0.8,0.01,0,0.525287757237531,0.00020750470740561,0.0073188081367137,1.8761479708102,"cl1"
"838",8,3e+05,0.8,0.01,0,0.52928870292887,0.00021807542154552,0.00748036127601487,1.85712322785773,"cl1"
"839",9,3e+05,0.8,0.01,0,0.508632596685083,0.000220446122175302,0.00759158762693726,1.91709930990817,"cl1"
"840",10,3e+05,0.8,0.01,0,0.526810584958217,0.000211620572104018,0.00726657386479523,1.7720692071668,"cl1"
"841",1,30000,0.3,0.001,0,0.615384615384615,0.00307403803427886,0.023810625478898,1.10909881758603,"cl1"
"842",2,30000,0.3,0.001,0,0.625,0.0054545199378615,0.0478688060920087,4.99685333241892,"cl1"
"843",3,30000,0.3,0.001,0,0.5,0.00447417763867136,0.0348738731858036,2.05056682204613,"cl1"
"844",4,30000,0.3,0.001,0,0.333333333333333,0.0068410136343468,0.0513807007911434,4.0932421294608,"cl1"
"845",5,30000,0.3,0.001,0,0.7,0.00182473930980553,0.0155012962901735,0.698618781887084,"cl1"
