"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1315",3e+05,0.3,0.001,0,0.871562886256911,-0.00135765892155861,-0.770754684299469,0.0126855494045639,7.05094092218157e-05,0.0143666327100284,"cl3"
"1415",30000,0.8,0.001,0,0.814960433133666,-0.0113818674138387,-0.740497269696,0.0118763144956242,0.000594884902790335,0.0147426927744531,"cl3"
"1515",3e+05,0.8,0.001,0,0.703000293713422,-0.000779586445301051,-0.697779182526272,0.0134186888937853,6.56220697379471e-05,0.017549686211372,"cl3"
"1615",30000,0.3,0.01,1,1,-0.0193409941925393,-0.793979746181729,0,0.00155272194731984,0.0178145245990041,"cl3"
"1715",3e+05,0.3,0.01,1,0.980483693466287,-0.00167879061549088,-0.788089830720753,0.00618934698447925,9.45277126950697e-05,0.0128020293817278,"cl3"
"1815",30000,0.8,0.01,1,0.916444594029117,-0.0137131907722136,-0.777022423368445,0.00889754893331572,0.000902157381860601,0.011648863552452,"cl3"
"1915",3e+05,0.8,0.01,1,0.594593559760446,-0.00023565234773437,-0.514885797086761,0.00586269518498861,1.5404880059754e-05,0.0181963155716677,"cl3"
"2015",30000,0.3,0.001,1,0.997462620897545,-0.0191699915928819,-0.800130445092074,0.00186259796252727,0.000678997442334067,0.0110336965532488,"cl3"
"2115",3e+05,0.3,0.001,1,0.869205197125886,-0.00135625782273897,-0.766134900070179,0.0106682046229701,6.73436020973742e-05,0.0172913021147952,"cl3"
"2215",30000,0.8,0.001,1,0.821748885476976,-0.0115576568093886,-0.752345334210089,0.0172783842635731,0.000768637319702202,0.0119623162299692,"cl3"
"2315",3e+05,0.8,0.001,1,0.712291813919123,-0.000807581684214496,-0.72677621001252,0.0133623700710344,3.95490214834037e-05,0.0158418968016707,"cl3"
"17",30000,0.3,0.01,-1,1,-0.022227265806741,-0.929988700764685,0,0.00194589202315124,0.00680124101510457,"rep"
"117",3e+05,0.3,0.01,-1,0.98975198969085,-0.00204581808494667,-0.921754373426211,0.0031256403222649,0.000104380632985891,0.00901440967337903,"rep"
"217",30000,0.8,0.01,-1,0.959159909317452,-0.0176562314404767,-0.909871273415474,0.00820120222211821,0.00113065066480722,0.00845480853906462,"rep"
