"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"140",40,3e+05,0.3,0.01,-1,0.652073732718894,-8.04432209762145e-06,-0.000914823736320443,-0.341411848257398,"EB"
"141",41,3e+05,0.3,0.01,-1,0.646370023419204,-7.8491936412489e-06,-0.00097556234917477,-0.385779716907634,"EB"
"142",42,3e+05,0.3,0.01,-1,0.632867132867133,-4.56383561943065e-06,-0.000557837939712057,-0.239030595822126,"EB"
"143",43,3e+05,0.3,0.01,-1,0.604923798358734,-6.13176995019018e-06,-0.000699609397316153,-0.273829761989679,"EB"
"144",44,3e+05,0.3,0.01,-1,0.602579132473622,-3.10456295968127e-06,-0.000351360414485765,-0.147127708518277,"EB"
"145",45,3e+05,0.3,0.01,-1,0.631823461091754,-5.69153094551208e-06,-0.000664324711600612,-0.267130853579079,"EB"
"146",46,3e+05,0.3,0.01,-1,0.665871121718377,-8.25738719871804e-06,-0.000912708659643648,-0.332965068813963,"EB"
"147",47,3e+05,0.3,0.01,-1,0.648550724637681,-7.55738235062559e-06,-0.000922770033873324,-0.364033482922299,"EB"
"148",48,3e+05,0.3,0.01,-1,0.637311703360371,-7.37115824856898e-06,-0.00085543184664705,-0.32861187245067,"EB"
"149",49,3e+05,0.3,0.01,-1,0.631578947368421,-6.14056973546532e-06,-0.000758260772493663,-0.313144913644606,"EB"
"150",50,3e+05,0.3,0.01,-1,0.635365853658537,-4.93454302524814e-06,-0.000583477453340969,-0.241497132382701,"EB"
"151",51,3e+05,0.3,0.01,-1,0.62158956109134,-5.18919481465418e-06,-0.000618997399929557,-0.256129993415853,"EB"
"152",52,3e+05,0.3,0.01,-1,0.608748481166464,-8.60759957538843e-06,-0.000931923512841184,-0.333000630566083,"EB"
"153",53,3e+05,0.3,0.01,-1,0.580568720379147,-4.26548961629253e-06,-0.000471550871533891,-0.188368964037974,"EB"
"154",54,3e+05,0.3,0.01,-1,0.65162037037037,-4.01601102793378e-06,-0.000494151431277792,-0.216130325308071,"EB"
"155",55,3e+05,0.3,0.01,-1,0.638724911452184,-6.62389384553906e-06,-0.000794678712726178,-0.317857763346513,"EB"
"156",56,3e+05,0.3,0.01,-1,0.631458094144661,-5.82477476646199e-06,-0.000710917669636569,-0.293863606834798,"EB"
"157",57,3e+05,0.3,0.01,-1,0.641509433962264,-6.35129660339088e-06,-0.000744193500072093,-0.295088033834154,"EB"
"158",58,3e+05,0.3,0.01,-1,0.618932038834951,-7.61385930351174e-06,-0.000894380856116324,-0.344134246460151,"EB"
"159",59,3e+05,0.3,0.01,-1,0.622298065984073,-5.80044569398158e-06,-0.000686742491968153,-0.278156144034293,"EB"
"160",60,3e+05,0.3,0.01,-1,0.625737898465171,-8.31142619342631e-06,-0.000966645894691021,-0.363394636234775,"EB"
"161",61,3e+05,0.3,0.01,-1,0.643818849449204,-6.38570435542768e-06,-0.000776930481404263,-0.315618614086603,"EB"
"162",62,3e+05,0.3,0.01,-1,0.637243047158404,-7.34885619916298e-06,-0.000938663467147756,-0.382389249188583,"EB"
"163",63,3e+05,0.3,0.01,-1,0.626491646778043,-5.35450984212943e-06,-0.000633073247766149,-0.259151050439667,"EB"
"164",64,3e+05,0.3,0.01,-1,0.631642512077295,-6.21289524729838e-06,-0.000734839777210718,-0.294279941648356,"EB"
"165",65,3e+05,0.3,0.01,-1,0.678486997635934,-7.91700501393316e-06,-0.000939817887757768,-0.361174478163998,"EB"
"166",66,3e+05,0.3,0.01,-1,0.663924794359577,-9.53954267848181e-06,-0.00108680296923878,-0.392142794988196,"EB"
"167",67,3e+05,0.3,0.01,-1,0.655793025871766,-7.39418325143078e-06,-0.000845301419269894,-0.321417138883597,"EB"
"168",68,3e+05,0.3,0.01,-1,0.648550724637681,-6.28403219873693e-06,-0.000711522139053979,-0.275992844076642,"EB"
"169",69,3e+05,0.3,0.01,-1,0.634433962264151,-6.83892880844908e-06,-0.000782697787313176,-0.301816981862138,"EB"
"170",70,3e+05,0.3,0.01,-1,0.636150234741784,-7.08788457735717e-06,-0.000774470558153864,-0.287736406831872,"EB"
"171",71,3e+05,0.3,0.01,-1,0.635502958579882,-7.36427675592837e-06,-0.000862660371232655,-0.333421089580493,"EB"
"172",72,3e+05,0.3,0.01,-1,0.676905574516496,-6.46099382271378e-06,-0.000733874724354319,-0.284093279406441,"EB"
"173",73,3e+05,0.3,0.01,-1,0.648648648648649,-5.72364013404146e-06,-0.000660734918163411,-0.263387819135637,"EB"
"174",74,3e+05,0.3,0.01,-1,0.629675810473815,-6.78602616398379e-06,-0.000831177644637275,-0.335445619074636,"EB"
"175",75,3e+05,0.3,0.01,-1,0.638051044083527,-5.72420168002446e-06,-0.000624850744585449,-0.239103369633691,"EB"
"176",76,3e+05,0.3,0.01,-1,0.646699266503667,-6.10393167447925e-06,-0.000762197602676516,-0.3174080876617,"EB"
"177",77,3e+05,0.3,0.01,-1,0.631768953068592,-8.10254812467957e-06,-0.000920476262905942,-0.342829150130918,"EB"
"178",78,3e+05,0.3,0.01,-1,0.621779859484778,-6.5344014636194e-06,-0.000744965433700754,-0.28861716379394,"EB"
"179",79,3e+05,0.3,0.01,-1,0.627098321342926,-6.27091303336706e-06,-0.000750670619088342,-0.302612143421896,"EB"
"180",80,3e+05,0.3,0.01,-1,0.637349397590361,-6.25857217924325e-06,-0.000721350020901987,-0.28346966389574,"EB"
"181",81,3e+05,0.3,0.01,-1,0.643540669856459,-7.90957067814767e-06,-0.000946615992381954,-0.365626352554594,"EB"
"182",82,3e+05,0.3,0.01,-1,0.637971698113208,-7.34007014781446e-06,-0.000849628854897041,-0.326091633629039,"EB"
"183",83,3e+05,0.3,0.01,-1,0.637019230769231,-6.54183698556641e-06,-0.000790369066280835,-0.318275283438203,"EB"
"184",84,3e+05,0.3,0.01,-1,0.62004662004662,-6.43471015244558e-06,-0.000762343742378572,-0.303897121599563,"EB"
"185",85,3e+05,0.3,0.01,-1,0.651753325272068,-5.63947803001215e-06,-0.000695109428080311,-0.290753974988118,"EB"
"186",86,3e+05,0.3,0.01,-1,0.652431791221827,-4.89201425062498e-06,-0.000581528411143726,-0.241910502465373,"EB"
"187",87,3e+05,0.3,0.01,-1,0.621428571428571,-6.82235781984842e-06,-0.000835511447104165,-0.336831823148536,"EB"
"188",88,3e+05,0.3,0.01,-1,0.617149758454106,-6.88496088909106e-06,-0.000801536499101042,-0.312259448352376,"EB"
"189",89,3e+05,0.3,0.01,-1,0.627906976744186,-5.91821449889699e-06,-0.000775508008819585,-0.334948274885004,"EB"
"190",90,3e+05,0.3,0.01,-1,0.608447488584475,-6.78157562199419e-06,-0.000776443667732911,-0.299899213578593,"EB"
"191",91,3e+05,0.3,0.01,-1,0.614074914869467,-6.87641343503091e-06,-0.000744082783942786,-0.275853416101489,"EB"
"192",92,3e+05,0.3,0.01,-1,0.606595995288575,-4.44031774210944e-06,-0.000549934422624254,-0.238801025717928,"EB"
"193",93,3e+05,0.3,0.01,-1,0.63785046728972,-6.97369331503391e-06,-0.000791105079434706,-0.302284937219639,"EB"
"194",94,3e+05,0.3,0.01,-1,0.645083932853717,-6.47321821684948e-06,-0.000751569484785832,-0.295264168338512,"EB"
"195",95,3e+05,0.3,0.01,-1,0.656434474616293,-6.01039710083754e-06,-0.000747506937595007,-0.311295929075656,"EB"
"196",96,3e+05,0.3,0.01,-1,0.634174311926605,-5.35760999087553e-06,-0.000650737288088338,-0.271535218435984,"EB"
"197",97,3e+05,0.3,0.01,-1,0.652224824355972,-6.6487786159271e-06,-0.000770773607890246,-0.30118551817954,"EB"
"198",98,3e+05,0.3,0.01,-1,0.644544431946007,-5.8043856614434e-06,-0.000649376638490144,-0.252569429105929,"EB"
"199",99,3e+05,0.3,0.01,-1,0.62158956109134,-8.06969088883058e-06,-0.000897657850330741,-0.330183075451437,"EB"
"200",100,3e+05,0.3,0.01,-1,0.612790697674419,-4.51393369442379e-06,-0.000551694886312357,-0.236714706403411,"EB"
"201",1,30000,0.8,0.01,-1,0.88,-0.000510714982454741,-0.012805048837727,-0.735867993538638,"EB"
"202",2,30000,0.8,0.01,-1,0.925925925925926,-0.00054022519654541,-0.0143150150662484,-0.797511647558067,"EB"
"203",3,30000,0.8,0.01,-1,0.952380952380952,-0.000418814189775458,-0.0114784647912073,-0.728156851210103,"EB"
"204",4,30000,0.8,0.01,-1,0.91304347826087,-0.000458286674114161,-0.0137536811373814,-0.827222028822155,"EB"
"205",5,30000,0.8,0.01,-1,0.84375,-0.000403847823892447,-0.0100751158627516,-0.64207144529013,"EB"
"206",6,30000,0.8,0.01,-1,0.945945945945946,-0.000385931941356173,-0.00994586051885305,-0.649586383922896,"EB"
"207",7,30000,0.8,0.01,-1,0.931034482758621,-0.000435536182673445,-0.0121394398684481,-0.755596894971468,"EB"
"208",8,30000,0.8,0.01,-1,0.888888888888889,-0.00036124409414015,-0.0112751496791877,-0.770197171703598,"EB"
"209",9,30000,0.8,0.01,-1,0.853658536585366,-0.000373052593350849,-0.00943644427882073,-0.62226678186067,"EB"
"210",10,30000,0.8,0.01,-1,0.909090909090909,-0.000501052458168321,-0.0141760262651002,-0.817265025301023,"EB"
"211",11,30000,0.8,0.01,-1,0.793103448275862,-0.000448444370758386,-0.0110695803148225,-0.674200575020877,"EB"
"212",12,30000,0.8,0.01,-1,0.914285714285714,-0.000371291160753245,-0.0112575618256073,-0.758862312109284,"EB"
"213",13,30000,0.8,0.01,-1,0.939393939393939,-0.000318325059625273,-0.0104737555238565,-0.762426874166502,"EB"
"214",14,30000,0.8,0.01,-1,0.833333333333333,-0.000304264593268665,-0.00922717372089211,-0.68335287162803,"EB"
"215",15,30000,0.8,0.01,-1,0.95,-0.00033127002198521,-0.0102983411876015,-0.734795310184204,"EB"
"216",16,30000,0.8,0.01,-1,0.90625,-0.000396862872892339,-0.0113146953798931,-0.737662207004564,"EB"
"217",17,30000,0.8,0.01,-1,0.942857142857143,-0.000405766347449477,-0.0114688834029977,-0.739506455516297,"EB"
"218",18,30000,0.8,0.01,-1,0.848484848484849,-0.000310199069223482,-0.00983154695727413,-0.724532141092192,"EB"
"219",19,30000,0.8,0.01,-1,0.862068965517241,-0.000512513374745615,-0.0124895764357959,-0.71557314165331,"EB"
"220",20,30000,0.8,0.01,-1,0.818181818181818,-0.0004283874785467,-0.0129224552566753,-0.807239208439533,"EB"
"221",21,30000,0.8,0.01,-1,0.846153846153846,-0.000357015365738542,-0.0101183031094472,-0.692769790351702,"EB"
"222",22,30000,0.8,0.01,-1,0.833333333333333,-0.000285976533369406,-0.00918172896523253,-0.703359277750139,"EB"
"223",23,30000,0.8,0.01,-1,1,-0.000911333140976504,-0.0213117730867721,-0.887926729261532,"EB"
"224",24,30000,0.8,0.01,-1,0.888888888888889,-0.000674507738949944,-0.0137775055439877,-0.685538038708398,"EB"
"225",25,30000,0.8,0.01,-1,0.962962962962963,-0.00043624131915607,-0.00974991640855945,-0.587631899184553,"EB"
"226",26,30000,0.8,0.01,-1,0.909090909090909,-0.000378157675437495,-0.0109690737651556,-0.732454058471032,"EB"
"227",27,30000,0.8,0.01,-1,0.928571428571429,-0.000406426067980834,-0.011350738026032,-0.73105749224382,"EB"
"228",28,30000,0.8,0.01,-1,0.958333333333333,-0.000969448370493044,-0.0162612668151369,-0.67351856504988,"EB"
"229",29,30000,0.8,0.01,-1,0.95,-0.000463351559464961,-0.0128553200118495,-0.775126726135485,"EB"
"230",30,30000,0.8,0.01,-1,0.947368421052632,-0.00049490763484289,-0.0120090459985357,-0.698923742730148,"EB"
"231",31,30000,0.8,0.01,-1,0.875,-0.00026280237858548,-0.00904999414420752,-0.724588248761099,"EB"
"232",32,30000,0.8,0.01,-1,0.869565217391304,-0.00064239877235584,-0.0166051014697972,-0.840506620642039,"EB"
"233",33,30000,0.8,0.01,-1,0.92,-0.000318792418334773,-0.0110314339442365,-0.799778560378474,"EB"
"234",34,30000,0.8,0.01,-1,0.851851851851852,-0.000358676464994078,-0.0101099076819316,-0.69034932361324,"EB"
"235",35,30000,0.8,0.01,-1,0.826086956521739,-0.000387295087260558,-0.0126576915795435,-0.827986636855728,"EB"
"236",36,30000,0.8,0.01,-1,0.863636363636364,-0.000229946693725996,-0.00754887309925008,-0.636638499145559,"EB"
"237",37,30000,0.8,0.01,-1,0.95,-0.000650277757617921,-0.0146619779978998,-0.746894807383465,"EB"
"238",38,30000,0.8,0.01,-1,0.962962962962963,-0.00035932251801616,-0.0101967316943478,-0.696224945226372,"EB"
"239",39,30000,0.8,0.01,-1,0.923076923076923,-0.000429467144453115,-0.00971887296026615,-0.591133760970693,"EB"
"240",40,30000,0.8,0.01,-1,0.96875,-0.000495801057602007,-0.0117394730983922,-0.680788148520787,"EB"
"241",41,30000,0.8,0.01,-1,0.896551724137931,-0.000281344717463687,-0.00954677873305347,-0.739253275806381,"EB"
"242",42,30000,0.8,0.01,-1,0.942857142857143,-0.000370947405615627,-0.0100471935346232,-0.672626336772174,"EB"
"243",43,30000,0.8,0.01,-1,0.90625,-0.000359570523040709,-0.00975619281298539,-0.66199103566327,"EB"
"244",44,30000,0.8,0.01,-1,0.931034482758621,-0.000430613981829224,-0.0112712932009528,-0.703659903007585,"EB"
"245",45,30000,0.8,0.01,-1,0.894736842105263,-0.000339520838617691,-0.0116866733399976,-0.818301567853113,"EB"
"246",46,30000,0.8,0.01,-1,0.884615384615385,-0.000345269309139594,-0.0109867496124213,-0.767760278957889,"EB"
"247",47,30000,0.8,0.01,-1,0.931034482758621,-0.000707843884167667,-0.0169919939740022,-0.823131132624766,"EB"
