"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"1479",9,3e+05,0.8,0.01,-1,0.518093873163741,-1.36277305183852e-06,-0.000190311489770056,-0.100874962281001,"rep"
"1480",10,3e+05,0.8,0.01,-1,0.509018759018759,-1.681839041615e-06,-0.000228459537763327,-0.116774600847907,"rep"
"1481",1,30000,0.3,0.001,-1,0.604166666666667,-9.83645501448097e-05,-0.00459764228677722,-0.582387876574304,"rep"
"1482",2,30000,0.3,0.001,-1,0.5375,-5.81788753393751e-05,-0.00242776009022518,-0.334108990752519,"rep"
"1483",3,30000,0.3,0.001,-1,0.56701030927835,-4.19454451738999e-05,-0.00166553771550716,-0.232734421649872,"rep"
"1484",4,30000,0.3,0.001,-1,0.518987341772152,-5.47448242780557e-05,-0.00267319180940067,-0.408518197206674,"rep"
"1485",5,30000,0.3,0.001,-1,0.604166666666667,-7.78902098455321e-05,-0.00360682210340052,-0.490535576905381,"rep"
"1486",6,30000,0.3,0.001,-1,0.530120481927711,-3.1817607202195e-05,-0.00138623485318667,-0.214847436659772,"rep"
"1487",7,30000,0.3,0.001,-1,0.545454545454545,-3.46370427559291e-05,-0.00129919618311969,-0.177231182644092,"rep"
"1488",8,30000,0.3,0.001,-1,0.611764705882353,-7.30570471622152e-05,-0.00351851148863567,-0.495619488020641,"rep"
"1489",9,30000,0.3,0.001,-1,0.558139534883721,-8.13233817009816e-05,-0.00359181311356611,-0.472688647929984,"rep"
"1490",10,30000,0.3,0.001,-1,0.527472527472527,-0.000104720754619595,-0.00406164609084017,-0.470288830298375,"rep"
"1491",1,3e+05,0.3,0.001,-1,0.502645502645503,2.40597400032818e-06,0.000309005776294804,0.17213775894539,"rep"
"1492",2,3e+05,0.3,0.001,-1,0.478108581436077,1.78818331174856e-06,0.000234516499769033,0.130957034081486,"rep"
"1493",3,3e+05,0.3,0.001,-1,0.499181669394435,1.31195091496377e-06,0.000171621169144705,0.09397374062036,"rep"
"1494",4,3e+05,0.3,0.001,-1,0.509598603839442,-2.59142158051013e-06,-0.000321925163271481,-0.147901260678631,"rep"
"1495",5,3e+05,0.3,0.001,-1,0.482698961937716,3.03306887095592e-06,0.000409944751568653,0.248393012902214,"rep"
"1496",6,3e+05,0.3,0.001,-1,0.525862068965517,-1.4879629495541e-06,-0.000183902428635851,-0.0869203669885825,"rep"
"1497",7,3e+05,0.3,0.001,-1,0.498251748251748,1.68770068866768e-06,0.000222981979286766,0.125105933383621,"rep"
"1498",8,3e+05,0.3,0.001,-1,0.502599653379549,-2.69659572831072e-07,-3.42500867007989e-05,-0.0172503207069011,"rep"
"1499",9,3e+05,0.3,0.001,-1,0.480769230769231,-2.23040223530892e-07,-2.99950470276475e-05,-0.0160058674182731,"rep"
"1500",10,3e+05,0.3,0.001,-1,0.519163763066202,-3.53171628055971e-07,-4.8535850356181e-05,-0.0263284344926028,"rep"
"1501",1,30000,0.8,0.001,-1,0.491228070175439,-6.93988662266017e-06,-0.000328841478050996,-0.0604297618384792,"rep"
"1502",2,30000,0.8,0.001,-1,0.478260869565217,9.76169120313201e-06,0.000462705880511978,0.0917079880905402,"rep"
